Territorialidades;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Produto Interno Bruto per capita 2016;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Agropecuária no Valor Adicionado 2016;Participação da Indústria no Valor Adicionado 2014;Participação da Administração Pública no Valor Adicionado 2014;Participação dos Serviços no Valor Adicionado 2014;Rendimento médio no setor formal 2014;Esperança de vida ao nascer 2014;Média de anos de estudo 2014;% de 25 anos ou mais de idade com ensino superior completo 2014
Américo de Campos (SP);918;4788;2786;11,41;10,29;11,06;32,21;29,19;36,74;4,18;27,7;35,91;1128,83;;;
Ametista do Sul (RS);3512;3811;3958;8,2;8,31;8,1;16,98;14,47;15,48;16,17;40,07;26,78;995,58;;;
Amontada (CE);23285;15947;13111;6,92;5,47;6,58;10,88;11,23;7,65;30,92;36,13;22,07;961,12;;;
Amorinópolis (GO);1438;2171;1722;11,95;10,71;10,53;39,97;43,09;45,16;6,61;30,19;23,23;1179,17;;;
Amparo de São Francisco (SE);435;1840;955;8,26;8,23;7,23;5,5;5,26;5,75;10,07;63,15;21,27;1174,54;;;
Amparo do Serra (MG);2411;2642;2057;6,07;6,03;6,28;17,71;17,42;20,72;5,64;47,37;29,28;869,84;;;
Amparo (PB);1026;1062;972;6,11;6,68;6,55;5,69;5,68;5,98;4,16;69,47;20,67;764,75;;;
Amparo (SP);14018;51811;36340;38,65;33,26;32,32;3,45;3,92;3,92;44,73;8,99;42,82;1480,35;;;
Ampére (PR);4051;13257;7804;19,57;18,96;18,64;15,48;14,92;16,76;33,23;15,17;36,11;1085,5;;;
Anadia (AL);8475;8949;4922;5,51;5,11;5,23;30,16;20,34;27,66;3,14;43,74;22,95;884,56;;;
Anagé (BA);20592;4924;8457;5,2;5,63;5,37;10,44;9,14;9,6;5,62;47,93;36,01;1096,09;;;
Anahy (PR);766;2108;1321;17,78;17,85;20,03;46,42;42,41;47,72;4,24;20,33;29,01;922,83;;;
Anajás (PA);15265;9494;7158;4,86;4,74;4,48;23,12;24,09;22,23;6,95;53,1;16,84;1069,97;;;
Anajatuba (MA);18276;7015;9396;4,19;4;4,25;29,3;26,12;22,45;6,2;44,57;19,93;1249,56;;;
Analândia (SP);885;3408;2290;22,8;19,65;19,77;17,15;18,28;20,61;33,63;17,85;31,37;1279,1;;;
Anamã (AM);6040;4174;3777;5,66;4,9;5;34,34;29,21;34,59;4,23;47,74;13,69;910,02;;;
Ananás (TO);1721;8144;3674;6,85;6,59;7,38;16,65;18,25;17,68;2,79;54,03;26,53;770,69;;;
Ananindeua (PA);1161;470819;218223;9,09;8,89;8,72;0,23;0,23;0,18;20,11;23,1;56,56;1146,04;;;
Anápolis (GO);5858;328755;164502;27,67;26,2;23,48;0,49;0,45;0,49;34,98;12,06;52,48;1453,27;;;
Anapu (PA);10710;9833;8316;8,26;8,58;7,82;35,67;36,07;33,55;11,41;29,6;23,33;1071,1;;;
Anapurus (MA);6775;7164;5139;6,69;5,17;5,72;23,65;16,31;14,42;7,39;31,05;37,91;689,77;;;
Anastácio (MS);4161;19674;11027;10,57;11,52;11,02;19,48;25,46;19,07;10,59;35,6;34,33;1037,77;;;
Anaurilândia (MS);4171;4322;3625;15,52;14,69;15,94;40,56;42,23;42,97;7,63;27,43;24,38;1100,69;;;
Anchieta (ES);5741;18161;12159;134,6;70,96;16,86;0,59;1,02;4,51;75,19;5,24;18,98;2142,49;;;
Anchieta (SC);3794;2586;3604;14,82;14,38;15,55;33,74;33,39;38,87;13,55;22,36;30,35;1069,95;;;
Andaraí (BA);6187;7773;4922;4,36;4,63;4,59;5,13;5,87;6,87;5,19;56,32;33,36;934,22;;;
Andirá (PR);1259;19351;9910;20,72;20,94;21,86;9,27;9,93;10,53;31,03;15,31;44,39;1211,03;;;
Andorinha (BA);8206;6208;6058;7,66;6,6;7,35;5,58;6,81;5,41;34,08;30,89;29,44;1646,18;;;
Andradas (MG);9244;28026;20717;14,37;14,14;14,05;11,94;12,29;14,92;21,4;19,13;47,53;1088,26;;;
Andradina (SP);3685;51649;27401;28,99;33,22;36,03;4,19;2,91;4,17;39,39;10,14;46,28;1302,9;;;
André da Rocha (RS);720;496;662;65,77;59,26;63,09;76,97;75,58;76,25;2,33;7,89;12,81;1399,73;;;
Andrelândia (MG);2363;9810;5486;10,63;10,62;10,37;21,27;19,42;21,94;9,8;25,84;43,1;827,42;;;
Angatuba (SP);6257;15953;10590;25,55;22,25;22,7;14,64;15,76;20,28;40,7;11,17;33,48;1249,25;;;
Angelândia (MG);3967;4036;3552;7,12;5,77;6,24;29,92;25,38;26,05;4,98;39,09;26;913,67;;;
Angélica (MS);1494;7691;4470;32,58;38,12;40,43;44,38;44,2;47,65;23,19;11,75;20,67;1940,36;;;
Angelim (PE);4115;6087;3651;6,01;6,43;6,68;28,94;36,55;40,54;2,73;48,44;19,9;1534,54;;;
Angelina (SC);4127;1123;2832;16,21;14,77;15,09;36,89;40,69;43,87;16,86;20,98;25,27;1150,94;;;
Angical (BA);7542;6531;5341;6,26;6,19;6,49;30,92;32,96;36,5;4,65;39;25,44;974,31;;;
Angical do Piauí (PI);1458;5214;2406;5,39;5,03;4,9;7,84;7,38;6,58;4,93;48,44;38,79;1029,73;;;
Angicos (RN);1464;10085;4252;7,17;6,66;6,65;3,6;3,96;3,63;13,18;48,37;34,86;1099,9;;;
Angico (TO);1237;1938;1200;7,19;8,65;8,59;21,74;37,67;37,46;4,12;59,39;14,75;914,59;;;
Angra dos Reis (RJ);6221;163290;80809;33,01;29,15;31,63;0,61;0,6;0,49;28,25;21,36;49,78;2393,82;;;
Anguera (BA);5916;4326;3825;3,72;3,9;3,6;7,43;6,79;5,49;5,16;54,77;32,64;758,37;;;
Ângulo (PR);606;2253;1508;18,4;19,95;20,17;42,95;42,04;41,54;3,67;21,72;31,66;1104,05;;;
Anhanguera (GO);65;955;548;10,92;10,4;9,49;14,7;13,53;12,42;8,01;51,81;25,48;1097,12;;;
Anhembi (SP);1382;4271;2441;13,91;11,36;13,36;31,09;27,88;38,02;15,46;27,18;26,27;1420,54;;;
Anhumas (SP);679;3059;1763;12,48;10,65;11,21;38,92;34,02;37,24;9,45;25,52;26,1;3973,01;;;
Anicuns (GO);2928;17311;9456;13,51;12,23;12,55;17,56;20,57;25,04;24,96;22,84;34,65;1212,75;;;
Anísio de Abreu (PI);4595;4503;3361;4,64;4,64;4,7;4,35;4,42;4,39;6,08;57,55;32,01;682,73;;;
Anita Garibaldi (SC);4072;4551;4305;9,86;10,74;11,98;22,21;26,36;29,41;6,76;32,17;38,87;1047,54;;;
Anitápolis (SC);1899;1315;1826;12,5;12,05;12,22;32,99;31,33;33,81;6,55;27,96;32,5;1005,84;;;
Anori (AM);6317;10000;5980;7,06;5,79;5,96;47,71;40,89;45,28;3,25;37,69;11,35;1088,33;;;
Anta Gorda (RS);3742;2331;3844;21,36;20,34;20,01;39,03;37,11;37,44;7,35;16,63;36,99;1236,3;;;
Antas (BA);10712;6360;5876;3,89;3,73;3,86;11,17;14,31;12;11,77;47,25;29,8;983,01;;;
Antonina do Norte (CE);1985;4999;2368;5,3;4,78;4,71;9,47;4,38;3,69;3,3;52,01;35,22;563,19;;;
Antonina (PR);2828;16063;7265;13,84;14,28;17,96;2,52;2,35;2,64;27;23,3;47,17;1104,48;;;
Antônio Almeida (PI);815;2224;1147;19,25;12,15;9,8;42,95;28,17;20,74;27,95;16,52;12,58;1072,79;;;
Antônio Cardoso (BA);8329;3225;5498;6,17;5,84;4,95;8,35;9,57;8,54;5,65;40,37;45,64;1037,49;;;
Antônio Carlos (MG);3288;7826;4850;8,07;7,82;8,08;14,08;15,5;16,74;17,98;33,31;34,63;990,51;;;
Antônio Carlos (SC);5117;2341;4077;53,14;49,39;48,38;34,43;37,58;41,51;31,85;6,73;26,99;1354,45;;;
Antônio Dias (MG);4893;4672;3491;9,87;11,38;9,95;17,83;10,97;16,33;12,29;31,96;37,92;1148,28;;;
Antônio Gonçalves (BA);5232;5783;4551;3,67;3,77;3,52;10,45;11,59;8,6;6,09;55,15;28,3;644,78;;;
Antônio João (MS);1380;6828;3415;12,72;15,97;15,2;39,05;39,23;41,64;4,11;31,57;25,26;1089,13;;;
Antônio Martins (RN);3123;3784;2254;4,85;4,6;4,57;5,95;4,53;3,37;3,73;69,45;20,87;910,79;;;
Antônio Olinto (PR);6664;687;3556;16,52;15,34;14,5;56,31;51,66;56,3;5,43;17,85;20,41;1044,7;;;
Antônio Prado de Minas (MG);668;1003;746;8,51;8,45;8,47;14,54;14,51;18,29;5,07;52,74;27,65;1142,48;;;
Antônio Prado (RS);3598;9235;8121;25,36;26,15;25,65;11,91;12,75;14,16;32,37;14,3;41,42;1377,62;;;
Aparecida de Goiânia (GO);464;455193;236145;17,98;15,94;14,95;0,09;0,09;0,1;27,33;15,14;57,43;1230,82;;;
Aparecida D'Oeste (SP);805;3645;1892;14,27;14,34;14,98;25,46;26,37;29,12;17,98;21,14;35,43;1016,55;;;
Aparecida do Rio Doce (GO);477;1950;1035;21,04;19,99;19,52;50,23;50,93;49,21;4,75;23,06;21,96;1118,66;;;
Aparecida do Rio Negro (TO);900;3313;1597;12,54;11,14;10,45;46,57;43,95;39,66;4,89;33,41;15,13;1041,5;;;
Aparecida do Taboado (MS);2224;20096;10776;24,77;23,74;23,97;19,46;25,33;21,31;34,67;17,04;28,83;1323,81;;;
Aparecida (PB);4038;3638;2512;6,16;6,15;5,77;11;11,62;10,22;4,65;53,58;30,77;1006,61;;;
Aparecida (SP);509;34498;18253;18,81;20,02;20,42;0,18;0,16;0,18;9,89;16,67;73,25;1261,88;;;
Aperibé (RJ);1335;8878;4876;10,32;10,26;10;5,05;4,9;4,6;9,25;51,3;34,4;1040,93;;;
Apiacá (ES);2301;5211;3418;7,24;7,32;7,81;14,46;16,2;22,7;5,7;47,62;32,23;877,34;;;
Apiacás (MT);2190;6377;4310;10,2;10,31;9,21;18,24;17,56;20,62;12,1;38,55;31,11;1112,41;;;
Apiaí (SP);6973;18218;10543;23,81;20,07;16,27;33;36,45;27,76;24,91;11,55;30,54;1173,39;;;
Apicum-Açu (MA);5797;9162;5538;3,91;3,65;3,79;18,67;18,24;15,17;3,64;55,14;22,55;1061,04;;;
Apiúna (SC);5312;4288;5670;29,88;28,8;24,61;3,83;3,34;4,29;51,86;12,58;31,73;1350,95;;;
Apodi (RN);17232;17531;14614;11,5;8,35;7,68;5,64;6,74;16,89;38,26;27,62;28,48;980,14;;;
Aporá (BA);9226;8505;6931;4,15;4,2;4,08;11,44;15,08;14,05;5,68;54,34;28,54;951,57;;;
Aporé (GO);1262;2541;1942;35,43;41,47;48,87;44,56;34,33;37,78;22,62;14,1;18,72;1368,82;;;
Apuarema (BA);2342;5117;2993;5,38;5,31;5,82;23,29;25,25;24,46;5,18;47,66;23,87;1088,91;;;
Apucarana (PR);6821;114098;65213;17,02;16,08;14,97;3,56;4,05;4,19;28,43;16,92;51,1;1233,78;;;
Apuí (AM);7412;10595;7451;7,5;7,21;5,85;36,63;41,46;32,97;6,37;37,15;19,85;1067,27;;;
Apuiarés (CE);8153;5772;4666;4,32;4,31;4,21;8,44;6,03;4,7;9,92;53,48;28,15;782,41;;;
Aquidabã (SE);8599;11457;7349;7,08;7,54;7,22;21,16;24,41;22,58;5,48;47,01;26,34;989,07;;;
Aquidauana (MS);9688;35926;19090;12,81;12,37;12,33;18,2;19,29;18,87;9,24;30,46;42,1;1104,4;;;
Aquiraz (CE);5545;67083;29779;16,89;16,98;18,15;6,5;6,18;4,85;25,17;18,93;49,4;1125,43;;;
Arabutã (SC);2886;1307;2763;18,28;17,72;16,56;45,7;45,96;41,21;13,21;19,81;21,28;1274,14;;;
Araçagi (PB);10420;6804;5630;5,76;5,78;5,52;19,69;21,44;18,9;3,23;56,49;20,59;884,68;;;
Araçaí (MG);460;1783;1040;12,54;11,87;12,74;16,51;11,65;12,33;24,63;33,06;25,81;925,29;;;
Aracaju (SE);;571149;277607;18,8;18,11;17,07;0,02;0,02;0,02;19,7;18,66;61,62;1870,6;;;
Araçariguama (SP);;17080;8451;60,69;57,22;68,44;0,08;0,08;0,07;52,75;7,66;39,51;1735,61;;;
Araças (BA);5754;5807;4228;22,73;15,21;6,67;2,59;3,18;9,22;59,06;12,32;26,02;856,62;;;
Aracati (CE);25124;44035;28728;11,81;11,54;11,02;10,8;12,02;10,58;24,06;19,84;45,31;940,05;;;
Aracatu (BA);9805;3938;6380;4,52;4,39;4,23;13,92;15,67;15,89;9,64;47,45;28,99;869,31;;;
Araçatuba (SP);3502;178077;93284;25,29;24,15;23,77;1,27;1,18;1,53;19,35;10,93;68,46;1501,08;;;
Araci (BA);32013;19638;19308;4,77;4,69;4,68;15,57;15,67;15,94;6,95;45,75;31,73;1198,65;;;
Aracitaba (MG);417;1641;747;7;6,84;6,96;14,76;13,25;13,06;4,42;53,43;27,39;985,19;;;
Aracoiaba (CE);11654;13737;9205;4,88;4,85;4,84;10,96;9,44;9,79;6,7;51,67;30,67;891,52;;;
Araçoiaba da Serra (SP);8535;18764;13226;13,31;14,23;13,55;5,11;3,74;3,85;19,98;22;52,91;1213,95;;;
Araçoiaba (PE);2888;15268;6291;4,61;4,19;4,26;2,75;3,86;5,07;2,73;60,8;33,72;1073,78;;;
Aracruz (ES);10381;71451;40906;42,1;40,37;31,63;1,21;1,13;1,39;64,58;9,31;24,9;1704,04;;;
Araçuaí (MG);12578;23435;14538;7,2;7,05;6,5;3,53;3,09;3,99;13,18;34,39;48,9;982,45;;;
Araçu (GO);445;3357;1571;9,68;9,05;9,18;27,59;29,51;30,57;9,14;33,8;29,47;852,75;;;
Aragarças (GO);688;17617;8470;8,01;7,86;7,24;4,43;4,49;4,53;6,29;35,31;53,98;1154,25;;;
Aragoiânia (GO);2837;5528;4217;7,88;7,55;6,85;10,38;10,43;11,05;15,88;35,73;38,01;990,39;;;
Aragominas (TO);3652;2230;2480;7,07;7,17;7,2;29,71;32,43;32,71;2,33;56,19;11,77;969,82;;;
Araguacema (TO);3392;2925;2599;7,99;7,87;9,06;31,51;29,87;37,14;3,07;48,59;16,83;863,52;;;
Araguaçu (TO);2904;5882;3772;12,34;13;13,78;40,1;43,76;45,43;4,04;32,84;23,02;915,75;;;
Araguaiana (MT);1008;2189;1478;14,2;14,76;15,85;45,3;44,72;46,07;3,01;32,37;19,32;1204,16;;;
Araguaína (TO);7559;142925;70286;14,31;14,6;14,59;1,78;1,79;1,83;14,77;27,81;55,64;1206,41;;;
Araguainha (MT);152;944;500;11,2;12,36;12,88;20,2;19,32;22,58;3,79;55,83;20,18;1030,93;;;
Araguanã (MA);8596;5377;3667;3,3;3,12;3,38;19,42;18,4;16,65;3,64;54,31;22,63;865,86;;;
Araguanã (TO);1644;3386;2051;7,65;7,72;7,95;31,51;32,01;30,9;4,39;49,95;14,15;878,91;;;
Araguapaz (GO);2311;5199;3666;10,33;10,7;9,71;32,96;36,07;37,68;5,14;27,63;34,27;965,05;;;
Araguari (MG);7218;102583;55974;22,53;22,94;22,29;8,84;6,53;9,63;37,72;13,05;40,39;1218,1;;;
Araguatins (TO);11194;20135;11113;7,07;6,92;7,2;8,72;9,21;8,98;4,9;53,84;32,53;1104,68;;;
Araioses (MA);30460;12045;11336;3,8;3,74;3,77;21,73;17,53;16,61;4,36;48,15;25,76;924,61;;;
Aral Moreira (MS);4894;5357;4062;34,56;28,97;33,35;48,43;53,85;49,77;3,78;13,3;34,49;1066,56;;;
Aramari (BA);4911;5125;3584;4,88;4,73;4,95;12,97;10,06;22,01;16,35;46,47;24,22;837,06;;;
Arambaré (RS);780;2913;1468;24,05;24,96;23,28;53,61;54,85;56,51;5,62;17,13;23,63;1420,96;;;
Arame (MA);19151;12551;8389;4,39;4,06;4,6;28,29;25,88;22,72;5,79;41,92;23,99;1011,16;;;
Aramina (SP);336;4816;2433;15,99;14,72;15,11;17,93;16,54;22,17;5,07;20,2;56,8;1145,37;;;
Arandu (SP);1509;4614;2840;10,12;9,29;13,7;30;24,08;46,4;7,92;30,65;31,43;1098,61;;;
Arantina (MG);190;2633;1044;11,15;11,03;12,33;35,9;35,1;41,93;10,37;28,44;25,29;804,99;;;
Arapeí (SP);618;1875;1052;7,36;6,96;6,83;12,24;6,99;7,66;5,33;52,78;29,65;936,11;;;
Arapiraca (AL);32525;181481;88601;11,8;12,3;11,45;7,97;7,89;10,26;9,93;21,39;60,7;963,8;;;
Arapoema (TO);1287;5455;2787;10,03;10,22;10,42;32,84;33,31;32,84;4,61;38,5;24,06;1032,53;;;
Araponga (MG);5111;3041;3869;5,91;6,09;6,47;28,35;29,37;33,93;5,21;42,72;23,72;916,14;;;
Arapongas (PR);2299;101851;55117;27,64;24,31;22,88;4,53;4,81;5,26;42,25;10,36;42,87;1373,54;;;
Araporã (MG);246;5898;2745;93,73;147,81;106,93;3,12;1,15;3,05;71,61;5,73;19,54;1705,44;;;
Arapoti (PR);4077;21778;11250;27,27;27,05;24,96;24,49;22,69;24,09;29,66;11,58;34,27;1384,93;;;
Arapuá (MG);687;2088;1414;25,74;25,11;26,97;15,98;16,86;16,25;28,18;16;39,84;1073,64;;;
Arapuã (PR);2227;1334;1518;20,37;20;19,04;54,17;50,69;50,51;4,56;17,09;24,18;1150,46;;;
Araputanga (MT);3157;12185;7352;16,74;16,68;17,08;7,6;7,41;7,73;32,31;22,82;37,26;1289,09;;;
Araquari (SC);1457;23353;11958;41,45;60,6;62,8;3,5;2,47;2,11;39,95;10,05;46,5;1602,63;;;
Araranguá (SC);10784;50526;32966;18,26;17;15,72;5,91;5,6;6,91;21,59;15,56;56,95;1322,14;;;
Arara (PB);3729;8924;4666;4,64;4,62;4,45;4,01;4,36;4,97;2,9;67,24;25,85;882,7;;;
Araraquara (SP);5932;202730;111785;27,85;26,57;25,94;1,42;1,2;1,4;21,94;11,78;64,86;1619,9;;;
Araras (SP);6399;112444;61342;26,95;25,57;25,5;1,25;1,8;2,31;31,88;11,45;55,43;1648,91;;;
Ararendá (CE);5585;4906;3368;4,22;4,06;4,01;11,88;10,9;11,19;3,01;58,22;26,89;763,26;;;
Araricá (RS);868;3996;2572;22,78;19,52;18,87;0,85;1,02;1,58;42,42;18,96;37,77;1233,36;;;
Arari (MA);11005;17483;9786;5,39;5,19;5,32;29,07;27,86;23,67;5,24;35,4;30,28;949,83;;;
Araripe (CE);7952;12733;6452;5,75;5,1;4,62;23,53;17,79;12,6;3,47;47,43;25,56;1082,65;;;
Araripina (PE);30394;46908;30935;7,45;6,61;6,27;2,99;2,84;2,37;18,02;37,1;41,89;1086,21;;;
Araruama (RJ);5522;106486;50021;13,43;13,23;13,11;1,82;2,03;1,71;11,24;36,69;50,25;1111,65;;;
Araruna (PB);9551;9328;6926;5,09;5,06;5,08;4,94;6,49;6,97;4,94;63,83;26,29;959,69;;;
Araruna (PR);2944;10475;6983;23,99;21,95;21,18;26,27;23,86;27,5;32,68;12,9;28,15;1191,82;;;
Arataca (BA);4804;5588;3817;6,13;6,1;5,56;38,03;37,07;37,39;5,57;37,67;18,72;876,39;;;
Aratiba (RS);3249;3316;3939;71,61;100,9;95,75;9,92;6,04;6,35;76,49;6,01;7,58;1622,86;;;
Aratuba (CE);7760;3769;4435;5,68;5,32;5,5;25,66;23,44;27,95;3,17;48,53;22,64;666,87;;;
Aratuípe (BA);3086;5513;3795;5,12;5,03;4,89;28,05;27,87;31,01;5;42,62;24,33;920,8;;;
Arauá (SE);6391;4487;4106;7,54;7,43;7,07;28,7;25,74;23,42;4,71;48,35;18,24;888,96;;;
Araucária (PR);8918;110205;62068;51,16;75,49;83,22;1,55;0,94;0,97;19,06;11,16;68,23;2361,4;;;
Araújos (MG);1071;6812;4328;21,72;19,57;19,88;35,21;38,06;43,89;19,39;12,72;32,67;886,68;;;
Araxá (MG);1388;92284;49056;37,02;34,61;30,61;1,78;1,72;2,37;44,93;8,44;44,85;1577,92;;;
Arceburgo (MG);1330;8179;4708;16,95;16,11;16,64;10,14;8,49;10,65;28,03;18,31;43,51;1210,13;;;
Arco-Íris (SP);828;1097;934;14,29;16,41;18,43;40,56;47,9;53,79;8,18;30,54;20,73;1068,14;;;
Arcos (MG);2636;33961;18273;26,5;22,89;18,43;1,81;3,08;4,08;51,5;10,86;35,83;1259,45;;;
Arcoverde (PE);6125;62668;27423;9,47;7,99;8,63;1,26;1,43;1,23;5,83;29,16;63,76;919,16;;;
Areado (MG);2206;11525;6821;9,72;9,8;9,71;13,95;14,03;19,52;10,88;26,87;48,3;950,77;;;
Areal (RJ);1500;9923;5469;17,99;17,74;17,41;0,97;0,94;0,92;18,41;37,22;43,39;1092,95;;;
Arealva (SP);1665;6176;4019;12,95;11,85;13,49;25,79;23,89;31,03;7,9;22,38;43,93;1892,35;;;
Areia Branca (RN);4998;20317;10558;23,78;17,63;12,07;1,29;1,48;2,3;55,96;16,69;26,05;1197,9;;;
Areia Branca (SE);8666;8191;6800;7,15;6,52;6,5;21,41;18,89;20,04;7,78;48,77;22,03;1402,58;;;
Areia de Baraúnas (PB);910;1017;702;6,03;5,84;5,32;4,09;3,71;3,92;3,84;76,3;15,77;1061,74;;;
Areial (PB);1870;4600;3011;5,29;5,26;4,89;3,8;4,42;3,31;3,45;67,71;25,03;1054,69;;;
Areia (PB);9231;14598;9113;6,2;6,06;6,01;11,55;12,03;11,95;7,76;50,27;30,41;1047,25;;;
Areias (SP);1218;2478;1539;7,47;6,92;6,48;22,96;19,75;17,47;3,78;45,45;27,81;901,93;;;
Areiópolis (SP);1178;9401;5191;7,98;7,37;7,78;12,77;7,63;17,38;8,97;35,59;42,67;1157,49;;;
Arenápolis (MT);566;9750;5061;11,05;12,69;11,46;11,87;20,02;11,66;5,91;33,02;49,2;1262,62;;;
Arenópolis (GO);1358;1919;1982;27,92;22,26;20,43;41,2;50,56;55,95;26,73;12,84;19,23;1166,62;;;
Arês (RN);4855;8069;4731;13,98;14,16;12,27;13,82;15,96;19,75;36,05;31,57;18,56;1044,7;;;
Argirita (MG);709;2192;1296;6,89;6,48;7,07;20,92;14,8;13,4;3,11;46,22;29,76;945,63;;;
Aricanduva (MG);3075;1695;2000;5,23;6,04;4,89;19,28;30,05;16,19;3,46;55,72;21,55;861,34;;;
Arinos (MG);6820;10854;7292;7,87;7,84;7,44;24,23;21,29;23,93;5,22;35,61;34,94;1049,99;;;
Aripuanã (MT);6975;11681;6841;17,79;20,75;21,75;11,36;10,73;10,34;40,71;22,37;25,56;1296,41;;;
Ariquemes (RO);13828;76525;42801;14,7;14,09;13,69;6,42;7,12;7,37;20,14;28,25;45,19;1150,55;;;
Ariranha do Ivaí (PR);1549;904;1361;24,11;23,13;22,54;62,06;59,04;61,3;4,44;16,57;16,93;1266,36;;;
Ariranha (SP);453;8094;4334;48,99;45,45;46,37;3,55;3,08;4,79;37,53;7,26;51,67;2197,37;;;
Armação dos Búzios (RJ);;27560;14157;103,02;53,05;30,92;0,2;0,38;0,61;58,47;7,23;34,1;1207,1;;;
Armazém (SC);2869;4884;4345;15,93;13,86;13,07;29,25;26,46;25,83;18,75;18,26;33,73;933,56;;;
Arneiroz (CE);3771;3879;2902;4,27;4,29;4,31;14,03;13,55;16,42;3,06;56,25;26,66;497,59;;;
Aroazes (PI);2349;3430;1792;4,96;5,06;4,99;10,08;10,83;10,23;7,78;54,78;27,36;941,88;;;
Aroeiras do Itaim (PI);2202;238;1038;4,53;4,52;4,47;12,27;12,91;10,77;3,27;67,29;17,17;1051,12;;;
Aroeiras (PB);9551;9531;6534;4,78;4,91;4,75;6,2;5,85;6,24;2,55;66,4;24,85;916,33;;;
Arraial do Cabo (RJ);;27715;13524;30,81;19,89;14,96;1,23;1,93;2,44;45,81;19,07;33,89;1286,11;;;
Arraial (PI);2255;2433;951;4,4;4,27;4,6;8,97;5,97;5,85;3,96;62,07;25;750,07;;;
Arraias (TO);3274;7371;3990;9,98;8,65;8,83;24,52;27,41;27,08;12,71;40,91;21,86;1684,02;;;
Arroio do Meio (RS);4120;14663;11869;35,18;33,81;32,27;6,18;5,95;6,03;48,97;9,76;35,08;1270,96;;;
Arroio do Padre (RS);2276;454;1512;13,33;11,15;11,6;44,81;39,47;44,37;3,89;31,81;19,49;1260,71;;;
Arroio do Sal (RS);231;7509;3722;14,99;15,12;14,49;1,41;1,38;1,79;11,02;27,64;59,93;1074,26;;;
Arroio dos Ratos (RS);650;12956;6249;10,92;11,55;10,39;11,85;17,15;12,55;13,75;30,22;44,17;1159,7;;;
Arroio do Tigre (RS);6686;5962;7942;17,33;16,18;15,42;39,4;36,17;34,82;7,87;18,41;34,32;1067,38;;;
Arroio Grande (RS);2385;16085;7772;18,68;19,38;17,42;50,44;50,64;48,56;5,96;16,86;26,74;1171,04;;;
Arroio Trinta (SC);1105;2397;2062;17,97;16,46;16,76;26,46;24,12;28,29;18,61;20,04;34,89;1144,72;;;
Artur Nogueira (SP);4179;39998;23805;15,42;13,37;12,87;10,49;11,21;13,83;22,59;18,48;48,43;1441,05;;;
Aruanã (GO);1318;6178;3669;13,21;13,22;12,07;34,63;34,09;37,19;5,3;23,62;36,46;1070,7;;;
Arujá (SP);2989;71916;36015;35,98;41,35;36,86;0,78;0,64;0,73;25,7;9;64,52;1736,85;;;
Arvoredo (SC);1759;501;1433;21,68;30,38;26,83;36,83;20,41;25,03;28,32;18,74;16,12;1157,47;;;
Arvorezinha (RS);3952;6273;5555;15,54;15,27;15,31;33,11;31,26;32,72;10,24;19,42;37,23;1171,45;;;
Ascurra (SC);955;6457;4025;16,22;13,71;13,37;3,54;4;4,92;28,7;20,24;47,52;1148,08;;;
Aspásia (SP);552;1257;895;9,85;8,08;11,16;23,22;12,89;35,23;10,5;40,49;25,79;1035,35;;;
Assaí (PR);2767;13587;7822;16,82;18,36;16,28;19,49;20,15;22,29;19,8;18,63;42,07;1211,46;;;
Assaré (CE);10493;11952;7503;6,06;5;4,32;27,7;16,6;9,33;3,46;37,07;31,77;829,78;;;
Assis Brasil (AC);2372;3700;2047;8,73;8,28;8,06;27,37;25,61;29,64;3,64;53,72;15,27;1390,87;;;
Assis Chateaubriand (PR);4012;29013;16266;21,31;21,1;22,56;29,2;26,34;31,12;7,77;13,99;49,04;1153,05;;;
Assis (SP);4153;90991;48456;21,12;19,26;18,54;1,56;1,79;2,16;15,36;13,35;69,74;1484,69;;;
Assunção do Piauí (PI);4125;3378;1457;3,77;3,8;3,78;9,17;9,22;9,19;3,03;71,04;16,76;708,21;;;
Assunção (PB);676;2846;1485;5,97;5,94;5,99;4,96;4,65;5,75;3,68;61,14;30,22;884,48;;;
Astolfo Dutra (MG);1167;11882;6290;15,03;13,66;13,13;4,15;4,47;4,77;44,03;18,28;33,54;846,82;;;
Astorga (PR);2139;22559;13512;15,57;16,56;15,83;18,07;19,04;17,2;14,41;19,04;48,49;1172,2;;;
Atalaia (AL);21865;22457;12565;6,97;7,54;9,36;32,3;37,21;45,51;5,39;36,97;25,33;924,48;;;
Atalaia do Norte (AM);8260;6893;4868;5,57;5,7;6,03;30,12;36,56;37,4;4,06;53,29;12,53;899,8;;;
Atalaia (PR);566;3347;2110;19,49;20,58;18,4;37,58;36,52;35,67;9,15;17,68;35,59;1197,41;;;
Atalanta (SC);1932;1368;1911;20,02;19,27;19,69;25,4;26,1;32,01;20,11;18,36;36,12;1274,43;;;
Ataléia (MG);7256;7199;5844;7,19;7,31;7,04;25,84;23,35;23,68;10,31;35,26;28,59;933,91;;;
Atibaia (SP);11374;115229;64400;30,8;29,26;28,16;3,17;3,28;3,76;31,72;9,41;55,7;1675,34;;;
