Territorialidades;% dos ocupados no setor agropecuário 2010;% dos ocupados no setor extrativo mineral 2010;Esperança de vida ao nascer 2010;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Indústria no Valor Adicionado 2014;Participação da Indústria no Valor Adicionado 2015;% de cobertura vegetal natural 2014;Expectativa de anos de estudo aos 18 anos de idade 2010
Santiago do Sul (SC);54,64;;73,68;815;650;769;15,75;15,83;33,88;33,72;6,59;7,73;23,55;10,91
Santiago (RS);15,1;0,18;77,93;4336;44735;24427;14,92;15,5;13,25;13,87;8,14;7,02;70,01;10,78
Santo Afonso (MT);46,73;;75,03;1450;1541;1240;13,07;13,89;47,34;45,74;4,04;6,2;37,9;7,56
Santo Amaro (BA);24,18;0,45;71,29;13034;44766;24570;8,28;8,08;7,15;7,85;26,43;24,57;37,87;8,5
Santo Amaro da Imperatriz (SC);6,72;0,31;78,4;4853;14970;11000;23,49;21,62;3,89;4,49;44,63;41,51;78,16;10,94
Santo Amaro das Brotas (SE);19,09;1,8;71,7;3199;8211;4459;9,08;7,06;13,22;14,52;31,79;16,71;28,52;8,45
Santo Amaro do Maranhão (MA);63,66;0,37;69,27;10190;3630;4676;3,57;3,09;21,02;13,09;3,77;3,81;59,32;7,95
Santo Anastácio (SP);13,15;0,33;76,22;1395;19080;9327;12,91;13,05;12,06;12,51;11,01;11,01;3,87;11,31
Santo André (PB);59,73;0,15;72,79;1773;865;1351;6,07;6,1;7,56;8,45;2,42;3,64;44,89;9,35
Santo André (SP);0,28;0,15;76,66;;676407;353681;29,75;25,81;0;0;23,45;18,98;50,34;10,69
Santo Ângelo (RS);10,46;0,03;76,78;4471;71804;38770;18,68;18,59;6,53;6,14;15,99;16,38;7,83;11,02
Santo Antônio da Alegria (SP);43,74;;74,8;1635;4669;3199;17,42;13,17;37,69;25,27;17,61;19,18;29,3;9,6
Santo Antônio da Barra (GO);35,75;;75,1;1051;3372;1910;25,18;22,37;33,37;35,39;34,46;29,14;30,4;9,69
Santo Antônio da Patrulha (RS);23,79;0,53;76,97;11571;28114;21170;19,98;18,29;8,79;9,11;35,45;31,3;35,89;9,62
Santo Antônio da Platina (PR);16,57;0,25;74,03;5763;36944;21155;15,29;15,58;11,75;12,13;15,85;16,47;6,79;9,54
Santo Antônio das Missões (RS);51,21;0,23;75,1;4422;6788;5783;16,01;18,01;44,83;49,37;5,08;4,68;61,56;10,64
Santo Antônio de Goiás (GO);10,26;;74,92;432;4271;2427;19,96;17,01;9,46;9,74;53,21;48,16;27,6;10,53
Santo Antônio de Jesus (BA);11,93;0,02;73,92;11686;79299;45792;13,83;13,37;3,18;3,32;12,47;13,49;21,46;9
Santo Antônio de Lisboa (PI);70,55;;67,21;2087;3920;2827;5,34;4,9;6,83;8,98;12,91;11,79;66,37;7,16
Santo Antônio de Pádua (RJ);10,4;5,34;73,33;9489;31100;19725;17,71;18,09;3,73;3,74;19,12;19,69;3,1;8,97
Santo Antônio de Posse (SP);13,99;0,12;75,3;1816;18834;10540;27,23;25,68;14,15;17,88;16,58;14,36;13,61;9,77
Santo Antônio do Amparo (MG);49,63;;74,39;2158;15187;7841;10,08;8,66;27,55;22,02;5,37;5,38;17,76;8,86
Santo Antônio do Aracanguá (SP);24,5;0,15;75,41;1655;5971;3934;16,99;26,07;26,75;24,31;18,1;40,28;6,07;11,31
Santo Antônio do Aventureiro (MG);33,87;;75,45;1161;2377;1590;7,86;7,26;22,5;23,64;4,83;4,75;18,28;9,43
Santo Antônio do Caiuá (PR);41,18;;74,21;604;2123;1159;10,74;10,59;34,9;33,35;4,71;4,51;5,86;11,3
Santo Antônio do Descoberto (GO);5,12;0,09;74,07;6440;56808;27797;6,22;5,84;2,54;2,2;9,09;7,23;54,77;8,83
Santo Antônio do Grama (MG);37,38;;74,36;720;3365;1779;9,1;9,4;11,59;12,18;13,51;15,74;13,07;9,33
Santo Antônio do Içá (AM);64,83;0,19;70,52;11534;12947;6190;4,79;4,56;16,29;16,78;3,79;3,22;95,62;6,49
Santo Antônio do Itambé (MG);59,45;;72,65;2905;1230;1477;5,45;5,46;15,96;13,66;2,81;3,03;56,73;9,03
Santo Antônio do Jacinto (MG);54,2;0,34;71,33;5417;6358;5000;4,67;4,62;11,72;10,35;4,5;4,66;6,46;7,96
Santo Antônio do Jardim (SP);44,15;0,1;75,12;2411;3532;2984;17,1;15,38;31,89;30,28;10,36;10,41;10,86;8,88
Santo Antônio do Leste (MT);46,82;;76,15;1635;2119;1464;57,54;47,24;75,94;72,54;4,43;4,87;49,1;8,09
Santo Antônio do Leverger (MT);38,13;0,37;73,38;11303;7160;7338;19,89;17,03;62,26;54,16;6,2;6,68;77,24;8,39
Santo Antônio do Monte (MG);16,28;;75,37;3782;22193;14148;12,28;11,61;25,49;24,49;9,14;8,28;20,04;8,77
Santo Antônio do Palma (RS);64,53;0,73;76,15;1458;681;1381;25,48;23,2;54,14;52,46;9,61;9,63;30,39;10,9
Santo Antônio do Paraíso (PR);41,28;;73,8;586;1822;1041;16,8;19,13;40,32;41,72;11,99;11,81;14,01;12,8
Santo Antônio do Pinhal (SP);17,16;;73,69;2631;3855;3271;10,35;9,77;9,16;8,9;6,82;7,23;49,65;10,92
Santo Antônio do Planalto (RS);50,1;;78,11;754;1233;1024;29,17;31,96;53,48;57,61;3,81;3,75;11,54;9,54
Santo Antônio do Retiro (MG);68,74;0,4;72,03;5365;1590;2064;4,93;4,64;12,12;11,34;4,22;4,09;79,69;9,85
Santo Antônio do Rio Abaixo (MG);36,96;;74,39;889;888;736;9,18;7,99;11,81;10,4;3,63;3,71;24,75;7,88
Santo Antônio dos Lopes (MA);56,05;0,45;67,86;8556;5732;4951;44,94;46,7;3,08;2,33;70,93;77,6;73,43;8,51
Santo Antônio dos Milagres (PI);46,67;2,45;71,57;1252;807;762;4,37;4,12;3,72;2,19;6,35;4,71;98,37;9,93
Santo Antônio do Sudoeste (PR);30,35;;73,42;5182;13711;8799;16;15;32,05;26,68;12,23;12,05;17,82;10,51
Santo Antônio do Tauá (PA);34,86;0,57;70,18;11803;14871;10448;6,69;7,24;38,4;41,7;8,17;8,82;52,94;9,61
Santo Antônio (RN);34,92;0,17;71,94;7936;14280;8150;5,65;5,79;4,6;5,9;7,96;6,59;2,64;9,29
Santo Augusto (RS);28,23;0,18;75,42;2588;11380;7495;22,32;23,47;31,57;32,39;7,66;7,59;6,18;10,79
Santo Cristo (RS);44,44;;74,2;6597;7781;8880;21,72;21,01;27,11;25,73;10,8;9,83;18,73;11,35
Santo Estêvão (BA);33,5;0,15;73,47;20190;27690;21721;8,95;7,91;2,46;2,8;22,41;18,56;3,53;8,59
Santo Expedito do Sul (RS);64,85;;76,15;1589;872;1411;18,57;18,03;52,12;54,31;4,25;4,63;19,86;10,76
Santo Expedito (SP);13,87;;74,69;325;2478;1194;7,55;7,43;15,56;13,7;7,66;8,65;0,88;10,64
Santo Hipólito (MG);43,44;;74,44;989;2249;1279;8,65;8,48;33,61;32,13;3,81;3,98;29,53;8,48
Santo Inácio do Piauí (PI);41,36;0,32;71,55;1351;2297;1417;4,91;4,69;10,56;11,52;6,55;4,67;84,02;9,76
Santo Inácio (PR);29,02;;75,6;1069;4200;2657;30,45;35,91;17,45;15,01;35,76;46,88;1,99;10,66
Santópolis do Aguapeí (SP);17,26;0,31;74,78;144;4133;2045;9,76;8,9;14,95;13,29;6,46;7,11;4,79;11,8
Santos Dumont (MG);8,21;0,54;75,84;4964;41320;18756;11,36;12,87;2,11;2,17;29,98;29,68;23,46;9,6
Santos (SP);0,42;0,63;76,13;314;419086;213611;36,19;33,35;0,01;0,02;9,87;10,43;74,27;10,84
São Benedito (CE);47,85;;70,84;19624;24554;17472;6,53;5,93;20,96;14,58;5,03;5,79;75,03;9,64
São Benedito do Rio Preto (MA);49,53;;69,95;6750;11049;3878;3,78;3,5;12,38;8,1;7,04;7,52;97,91;8,91
São Benedito do Sul (PE);44,44;;69,17;6783;7158;2963;3,99;3,76;9,19;10,29;2,75;2,5;21,13;7,62
São Bentinho (PB);37,51;1,84;72,22;1293;2845;1429;5,82;6,05;6,95;6,46;6,92;10,91;65,97;9,52
São Bento Abade (MG);57,44;9,74;73,03;339;4238;2332;9,34;8,26;31,17;21,02;7,83;6,85;10,85;9,06
São Bento do Norte (RN);47,66;;70,62;1937;1038;917;11,73;19,02;35,71;18,72;2,65;43,3;64,95;7,89
São Bento do Sapucaí (SP);20,44;0,08;73,69;5428;5040;5110;12,1;11,49;21,94;18,02;6,22;6,64;39,57;10,46
São Bento do Sul (SC);4,78;0,03;77,25;3567;71234;40363;30,81;25,23;1,78;2,04;49,61;44,56;66,05;10,39
São Bento do Tocantins (TO);44,05;;69,14;1892;2716;1671;6,03;6,1;14,37;15,63;3,42;3,32;82,59;10,17
São Bento do Trairí (RN);37,43;;70,79;2021;1884;1078;5,12;5,08;2,25;2,38;3,85;4,79;45,43;9,17
São Bento do Una (PE);56,51;0,11;72,34;25343;27899;20463;10,14;10,48;53,13;57,33;2,94;3,48;27,77;8,53
São Bento (MA);43,81;0,21;70,72;17228;23508;14839;3,71;3,67;8,44;6,25;5,23;5,76;51,89;9,04
São Bento (PB);9,76;;71,16;5839;25040;14318;7,34;7,44;2,49;2,47;11,2;10,96;50,09;8,32
São Bernardino (SC);71,52;0,49;74,34;1958;719;1343;14,87;14,16;36,9;37,49;15,21;13,98;28,93;10
São Bernardo do Campo (SP);0,53;0,05;76,65;12805;752658;402302;46,04;37,13;0,02;0,02;33,55;26,3;55,48;10,22
São Bernardo (MA);42,26;0,37;70,7;14676;11800;8263;6,58;5,97;24,07;20,83;5,96;7,48;91,84;8,96
São Bonifácio (SC);45,73;;76,61;2323;685;1924;13,5;12,29;24,94;28;14,09;10,26;74,34;9,14
São Borja (RS);15,22;0,05;76,61;6533;55138;27631;18,78;18,49;20,59;21,51;13,75;12,9;32,96;10,73
São Brás (AL);55,54;;68,93;3535;3183;1995;5,36;5,54;29,36;30,26;3,98;4,77;17,17;10,12
São Brás do Suaçuí (MG);10;1,31;73,04;384;3129;1375;16,37;12,8;5,52;5,46;6,45;6,19;11,37;7,62
São Braz do Piauí (PI);61,21;;71,23;3292;1021;1586;3,97;4,41;3,79;8,41;3,41;3,23;90,39;8,63
São Caetano de Odivelas (PA);49,91;;71,01;9933;6958;6207;4,83;4,73;29,42;29,2;3,49;3,45;46,54;8,97
São Caetano do Sul (SP);0,27;0,27;78,2;;149263;81484;77,78;61,34;0;0;31,7;27,72;0;11,04
São Caitano (PE);33,47;;70,38;8195;27079;15189;6,52;6,23;4,55;7,61;7,49;9,27;24,04;9,78
São Carlos do Ivaí (PR);21,99;;74,52;675;5679;3053;26,3;25,16;17,76;14,71;42,81;45,27;5,91;10,05
São Carlos (SC);36,8;;77,01;3389;6902;6239;19,28;17,73;22,16;22,9;26,73;25,6;23,31;10,69
São Carlos (SP);3,38;0,09;76,78;8889;213061;117551;31,51;29,75;1,49;1,38;36,34;36,09;22,56;10,66
São Cristovão do Sul (SC);21,8;;73,74;1212;3800;1910;16,71;15,56;22,01;16,14;21,61;24,57;39,23;8,82
São Cristóvão (SE);11,12;0,74;73,01;12199;66665;35180;7,17;7,07;4,47;3,42;24,27;26,4;26,75;9,13
São Desidério (BA);46,91;0,12;69,52;19026;8633;10362;61,93;60,09;68,65;67,56;7,46;7,61;56,42;8,23
São Domingos (BA);43,05;0,94;70,39;3310;5916;4688;4,57;4,93;11,02;17,93;9,12;6,18;5,16;9,22
São Domingos das Dores (MG);58,03;;73,01;2830;2578;1907;7,72;7,66;30,7;26,65;6,25;5,9;13,91;9,72
São Domingos do Araguaia (PA);37,26;0,27;69,25;7876;15254;8562;5,76;6,5;21,57;24,74;6,94;6,16;26,83;8,08
São Domingos do Azeitão (MA);42,86;0,13;68,92;2022;4961;1919;16,99;15,56;42,24;43,78;10,95;11,42;70,25;6,97
São Domingos do Capim (PA);63,41;;71,38;23257;6589;10240;5,9;5,8;41,94;41,48;4,69;4,76;53,55;7,35
São Domingos do Cariri (PB);41,63;;71,38;1386;1034;1027;5,77;5,86;8,22;9,69;3,64;5,04;84,84;8,52
São Domingos do Maranhão (MA);50,7;;67,76;16294;17313;11284;5,6;5,73;20,15;23,29;5,77;6,26;56,82;9,6
São Domingos do Norte (ES);51,79;7,7;73,66;4564;3437;3921;16,33;16,31;16,75;14,03;29,1;27,63;12,18;9,78
São Domingos do Prata (MG);32;0,78;74,36;6852;10505;7972;8,8;7,7;10,23;9,46;11,36;10,49;24,07;9,22
São Domingos do Sul (RS);33,3;11,98;75,33;1178;1748;1707;14,28;14;36,39;34,48;12,7;13,24;39,29;11,9
São Domingos (GO);40,84;1,09;74,77;5498;5774;3454;8,15;8,44;23,32;21,89;20,27;22,48;63,94;8,87
São Domingos (PB);50,12;0,36;70,21;1861;994;1138;5,54;5,42;8,47;9,2;3,06;4,45;71,12;8,93
São Domingos (SC);37,18;0,25;76,66;3178;6313;5071;20,47;21,25;31,35;28,79;16,1;22,85;17,92;11,44
São Domingos (SE);42,41;0,11;70,36;5124;5147;4906;7,01;6,68;9,86;8,98;19,5;15,79;29,15;9,06
São Felipe (BA);53,28;;72,21;10485;9820;8817;5,99;5,78;19,42;19,18;6,94;6,34;18,07;8,71
São Felipe D'Oeste (RO);52,93;0,08;71,78;4574;1444;2633;9,44;9,27;38,6;38,95;3,31;2,42;13,88;10,57
São Félix (BA);35,38;0,48;71,11;4833;9265;6485;7,76;7,76;24,13;23,83;6,41;6,45;19,19;9,49
São Félix de Balsas (MA);50,78;;71,65;3074;1628;1291;5,86;5,8;36,77;36,17;5,66;6,59;96,17;8,25
São Félix de Minas (MG);42,25;0,47;72,68;1293;2089;1259;6,82;6,28;17,77;15,33;7,67;6,41;4,46;8,85
São Félix do Araguaia (MT);30,92;0,22;75,86;4447;6178;4210;25,12;30,51;52,77;55,53;3,75;4,12;75,23;9,09
São Félix do Coribe (BA);26,11;;72,03;2461;10587;5219;6,75;6,41;25,26;25,76;7,67;6,32;63,03;9,53
São Félix do Piauí (PI);54,79;;69,52;1428;1641;1258;5,37;5,22;11;10,45;5,04;4,4;90,27;9,52
São Félix do Tocantins (TO);25,21;;71,28;506;931;294;7,27;7,01;13,63;12,05;4,43;3,17;98,08;10,23
São Félix do Xingu (PA);46,11;0,57;72,87;46227;45113;33187;7,26;7,54;42,59;44,18;9,98;9,52;80,54;6,45
São Fernando (RN);33,73;0,22;69,98;1104;2297;1148;9,51;10,04;15,95;17,48;13,77;17,41;40,09;9,45
São Fidélis (RJ);18,08;3,41;72,21;7864;29679;16059;14,13;13,73;9,33;9,36;20,82;19,15;10,34;9,47
São Francisco de Assis do Piauí (PI);75,99;;69,04;4138;1429;2206;4,38;4,42;9,41;10,1;5,2;3,85;74,19;7,26
São Francisco de Assis (RS);45,81;0,06;74,1;5759;13495;9145;13,63;13,77;36,84;36,16;4,61;4,03;59,75;10,77
São Francisco de Goiás (GO);34,77;0,42;74,47;1656;4464;3001;11,23;10,44;16,2;17,58;11,85;7,56;32,74;8,68
São Francisco de Itabapoana (RJ);31,2;2,23;72,44;20262;21092;17018;19,09;15,91;22,48;24,76;9,06;14,45;6,07;8,2
São Francisco de Paula (MG);49,81;2,32;73,69;1832;4651;3232;9,22;9,27;22,63;23,12;6,99;5,38;15,84;8,49
São Francisco de Paula (RS);30,31;0,13;76,57;7533;13004;10240;16,68;17,64;38,69;40,84;9,13;8,15;76,3;9,93
São Francisco de Sales (MG);19,97;0,35;77,01;1444;4332;2636;15,49;14,16;41,57;40,05;6,87;6,29;9,29;8,01
São Francisco do Brejão (MA);50,16;0,26;69,86;5425;4836;3186;5,21;5,35;34,51;33,54;4,5;4,52;21,65;9,12
São Francisco do Conde (BA);11,24;1,29;73,71;5792;27391;15513;58,43;158,67;0,9;0,17;-154,98;56,1;25,14;7,91
São Francisco do Glória (MG);42,05;0,34;74,96;2046;3132;2392;7,5;7,19;20,53;22,9;4,62;4,89;13,49;10,19
São Francisco do Guaporé (RO);50,89;0,09;70,04;7808;8227;7288;11,26;11,14;39,05;41,67;4,98;4,41;75,52;9,44
São Francisco do Maranhão (MA);64,23;0,32;68,96;8042;4104;4073;3,77;3,55;21,91;23,28;5,64;5,61;98,13;8,61
São Francisco do Oeste (RN);28,48;;71,75;926;2948;1566;5,75;5,61;5,39;4,45;7,79;8,37;58,58;9,25
São Francisco do Pará (PA);54,15;0,16;72,08;9947;5113;5303;8,64;7,78;39,22;35;4,99;5,48;48,17;9,51
São Francisco do Piauí (PI);50,58;;69,64;4315;1983;2259;4,91;4,83;11,86;10,68;4,13;4,16;87,53;9,38
São Francisco do Sul (SC);7,54;0,53;76,35;3030;39490;19652;59,04;54,56;0,67;0,75;40,19;38,81;60,8;10,43
São Francisco (MG);42,16;0,41;73,26;19624;34204;20804;5,51;5,55;8,62;9,22;6,86;5,91;58,25;8,79
São Francisco (PB);38,3;;68,58;2001;1363;1235;6,05;5,87;8,3;8,16;3,82;5,02;76,45;10,02
São Francisco (SE);35,67;0,29;68,89;1014;2379;1309;6,16;6,12;8,05;7,27;4,52;4,98;1,19;8,37
São Francisco (SP);46,97;;73,82;626;2167;1399;9,68;9,87;28,32;30,23;5,63;5,97;2,3;10,95
São Gabriel (BA);57,67;0,12;67,21;7933;10494;7070;4,14;4,1;8,78;9,99;6,29;5,86;32,99;9,23
São Gabriel da Cachoeira (AM);40,45;0,08;71,59;18842;19054;10273;4,78;4,46;7;9,43;5,2;3,91;98,71;7,5
São Gabriel da Palha (ES);21,88;0,4;75,08;7534;24325;16705;12,18;11,3;9,81;7,64;15,91;15,6;13,93;9,21
São Gabriel do Oeste (MS);23,4;;76,01;2903;19300;11817;38,68;39,78;28,15;28,82;14,39;15,07;29,71;9,09
São Gabriel (RS);17,29;0,03;74,31;6650;53775;27521;16,01;17,3;22,51;27,16;9,16;10,27;53,67;10,02
São Geraldo da Piedade (MG);44,87;0,17;71,43;3335;1054;1683;5,93;6,19;18,51;17,03;3,12;3,4;18,02;8,08
São Geraldo do Araguaia (PA);35,7;0,12;72,55;11997;13590;9633;9,22;9,18;33,26;33,35;6,81;8,33;29,17;7,54
São Geraldo do Baixio (MG);32,99;1,49;74,43;1046;2440;1328;6,64;6,7;21,56;24,41;5,1;4,03;1,59;8,03
São Geraldo (MG);24,16;0,29;74,85;2993;7270;4549;9,16;9,27;5,09;4,38;40,41;38,79;11,46;8,3
São Gonçalo do Abaeté (MG);36,97;2,39;72,75;2096;4168;2687;19,26;18,73;26,83;23,65;9,75;12,86;58,23;8,08
São Gonçalo do Amarante (CE);23,13;0,21;71,47;15353;28537;17455;24,31;28,3;4,06;3,88;46,99;53,4;78,01;10,28
São Gonçalo do Amarante (RN);5,18;1,08;74,72;13569;74099;36705;13,54;12,72;1,36;1,62;36,3;29,46;21,79;9,18
São Gonçalo do Gurguéia (PI);42,97;;67,06;1606;1219;738;6,37;6,19;29,54;27,74;3,36;3,63;90,23;8,15
São Gonçalo do Pará (MG);13,77;1,17;75,53;2438;7960;5419;11,02;10,25;7,07;6,07;35,79;34,04;24,88;8,08
São Gonçalo do Piauí (PI);29,53;;69,34;1446;3308;1197;4,66;4,11;7,93;9,57;7,57;5,89;96,36;9,76
São Gonçalo do Rio Abaixo (MG);13,92;5,33;72,52;5128;4649;4292;207,36;122,29;0,25;0,44;74,55;68,27;42,12;9,68
São Gonçalo do Rio Preto (MG);34,32;0,39;73,91;1102;1954;1381;6,44;6,16;8,63;7,75;6,03;5,09;86,27;9,63
São Gonçalo do Sapucaí (MG);28,48;0,14;75,99;4164;19742;11268;16,57;15,91;11,75;9,82;16,6;17,19;12,35;8,15
São Gonçalo dos Campos (BA);29,6;0,08;70,14;16778;16505;15310;9,73;11,93;4,57;3,84;20,8;18,52;9,01;8,78
São Gonçalo (RJ);0,75;0,37;74,96;729;998999;488127;11,84;11,57;0,32;0,33;13,99;12,57;14,88;9,08
São Gotardo (MG);41,9;0,14;76,27;1758;30061;16264;13,13;13,26;11,31;11,33;9,31;9,57;38,49;9,25
São Jerônimo da Serra (PR);53,21;0,11;74,31;5676;5661;4507;10,13;11,65;37,36;40,74;3,92;4,07;26,22;9,51
São Jerônimo (RS);23,94;0,33;74,34;5079;17055;10683;16,38;16,42;13,7;10,67;16,73;17,32;70,04;9,54
São João Batista do Glória (MG);30;0,24;75,69;1280;5607;3421;13,09;12,11;26,01;25,61;15,95;14,09;42,83;8,43
São João Batista (MA);60,59;;70,09;14576;5344;5038;3,85;3,65;13,5;12,64;4,1;4,4;30,85;9,76
São João Batista (SC);4,95;0,11;76,9;2709;23551;14982;17,23;15,2;2,11;1,71;41;38,83;66,98;9,5
São João da Baliza (RR);33,17;;71,81;2014;4755;2844;12,4;11,94;11,99;12,07;7,54;6,48;95,1;8,88
São João da Barra (RJ);12,57;1,24;73,02;7054;25693;15149;203,13;152,61;0,5;0,68;70,29;60,26;15,63;8,39
São João da Boa Vista (SP);7,19;0,52;77,23;3337;80302;43126;22,64;21,57;2,75;2,54;23,01;20,63;13,84;11,04
São João da Canabrava (PI);59,95;;68,55;3212;1233;1726;4,36;4,36;5,89;7,7;4,31;3,76;87,76;7,84
São João da Fronteira (PI);34,55;0,21;70,18;3336;2272;1364;5,41;4,58;4,28;4,63;20,36;7,1;82,83;8,04
São João da Lagoa (MG);63,25;0,13;73,78;2221;2435;2202;6,49;6,08;35,34;24,9;2,39;3,07;57,47;9,84
São João D'Aliança (GO);39,24;1,33;73,73;3533;6724;5015;13,7;13,7;46,51;48,55;6,35;6,16;67,33;9,23
São João da Mata (MG);53,71;;74,29;979;1752;1340;10,21;9,1;28,2;21,63;5,15;4,82;11,12;7,16
São João da Paraúna (GO);28,06;1,58;74,05;412;1277;747;19,89;18,97;43,16;46,2;7,18;6,36;11,46;11,24
São João da Ponta (PA);59,28;;71;4234;1031;1911;4,88;4,72;28,35;29,98;3,88;4,15;73,5;8,18
São João da Ponte (MG);66,29;;72,17;16702;8656;10581;5,19;5,1;14,74;10,9;3,92;4,29;41,22;7,79
São João das Duas Pontes (SP);39,28;;73,34;605;1961;1186;9,36;9,08;25,97;24,77;6,6;8,08;4,46;11,86
São João da Serra (PI);47,63;;70,39;2710;3447;1693;4,65;4,79;14,52;13,12;5;4,17;94,6;9,24
São João das Missões (MG);54,82;;71,57;9269;2446;3772;3,73;3,64;6,39;5,07;3,6;3,21;69,68;7,09
São João da Urtiga (RS);61,02;0,13;74,67;2435;2291;2828;18,91;17;44,01;39,85;4,18;3,83;30,36;11,42
São João da Varjota (PI);51,53;4,12;67,46;3262;1389;1546;3,85;3,73;8,96;7,56;3,95;3,24;91,61;9,57
São João de Iracema (SP);38,68;;74,97;328;1452;855;12,32;11,6;32,34;32,87;3,97;3,68;11,78;11,89
São João Del Rei (MG);6,2;0,86;76,57;4612;79857;39011;14,27;13,46;3,56;2,92;18,41;15,32;9,35;9,96
São João de Meriti (RJ);0,18;0,31;74,87;;458673;214483;12,39;14,24;0,01;0,01;6,18;5,42;0;9,22
São João de Pirabas (PA);44,61;;70,18;10160;10487;6550;4,62;4,31;18,34;18,05;4,83;4,83;73,6;7,61
São João do Araguaia (PA);55,39;0,4;69,47;10569;2586;4153;5,36;5,59;25,99;27,82;4,54;7,32;49,51;7,3
São João do Arraial (PI);55,69;;68,2;3635;3701;2270;3,71;3,69;4,23;3,99;3,35;2,8;98,59;9,9
São João do Caiuá (PR);44,83;;72,08;872;5039;2576;11,98;11,88;37,45;31,2;10,58;14,08;6,03;10,36
São João do Cariri (PB);48,86;0,12;72,79;1997;2347;1770;6,49;6,47;14,73;15,46;4,11;4,99;69,31;9,17
São João do Carú (MA);58,31;0,16;66,01;5986;6323;3879;4,26;3,88;29,2;23,68;4,09;4,22;51,01;7,91
São João do Itaperiú (SC);39,16;0,45;77,37;1510;1925;1738;28,64;27,05;20,94;18,77;39,86;39,92;44,24;9,84
São João do Ivaí (PR);44,36;;73,2;2651;8874;5420;15,23;15,07;30,51;27,4;4,55;4,6;4,73;8,79
São João do Jaguaribe (CE);40,51;0,25;72,04;4731;3169;3026;7,56;7,68;39,62;39,24;3,97;4,63;24,1;9,94
São João do Manhuaçu (MG);64,05;0,16;75,16;5439;4806;4801;9,27;9,7;22,93;21,38;18,61;16,24;27,37;7,99
São João do Manteninha (MG);20,49;;73,3;2283;2905;2025;7,79;7,56;11,94;11,93;15,04;13,01;3,43;8,35
São João do Oeste (SC);57,86;;77,35;3917;2119;4027;22,76;20,34;34,22;33,11;17,36;16,68;32,65;12,2
São João do Oriente (MG);24,21;;73,32;1549;6325;3087;6,6;6,63;8,74;7,97;15,62;13,47;3,39;8,64
São João do Pacuí (MG);61,45;0,15;72,85;2139;1921;1745;5,21;5,25;19,02;19,9;3,46;3,59;45,82;7,05
São João do Paraíso (MA);54,98;;70,16;5538;5276;3612;5,98;7,16;37,67;33,91;4,11;5,37;81,94;9,37
São João do Paraíso (MG);43,74;;73,46;12084;10235;11046;5,68;5,99;14,48;21;7,47;6,19;28,19;8,73
São João do Pau D'Alho (SP);28,99;;76,26;398;1705;1021;13,48;13,4;36,67;35,76;3,19;3,4;3,24;9,68
São João do Piauí (PI);29,38;0,07;71,16;6078;13470;8089;6,28;6,05;3,82;3,84;6,37;5,85;80,57;10,14
São João do Polêsine (RS);35,13;0,17;75,84;1281;1354;1501;19,09;18,85;19,85;17,69;9,99;10,68;27,17;11,09
São João do Rio do Peixe (PB);45,85;0,16;71,94;11316;6885;7033;6,12;6,2;5,66;6,07;2,95;4,71;49,84;9,45
São João do Sabugi (RN);37,08;0,13;71,73;1166;4756;2454;5,96;6,02;14,36;14,55;2,97;3,84;56,95;9,73
São João do Soter (MA);66,05;;67,63;10592;6646;5546;3,45;3,18;11,59;8,94;4,41;5,13;91,7;8,72
São João dos Patos (MA);29,07;0,12;68,55;4361;20567;10963;7,16;6,32;7,13;8,2;19,85;10,89;89,46;8,79
São João do Sul (SC);55,91;0,1;75,39;5430;1572;3768;14,14;13,75;37,04;32,86;8,46;7,76;16,38;10,61
São João do Tigre (PB);57,57;0,13;70,45;2867;1529;1763;4,44;4,57;8,56;9,1;1,94;2,99;81,12;7,27
São João do Triunfo (PR);68,06;0,08;73,08;9656;4048;6518;21,56;21,56;64,03;62,73;4,9;5,41;47,87;9,88
São João Evangelista (MG);30,31;;73,37;5445;10108;5942;7,21;7,2;10,87;8,76;7,13;7,36;25,15;8,93
São João Nepomuceno (MG);7,23;;75,98;1222;23835;12631;10,56;9,79;3,3;3,44;25,35;20,42;18,48;8,97
São João (PE);71,67;;71,09;11656;9656;8683;5,62;5,17;17,04;15,61;4;4,02;6,25;8,34
São João (PR);37,53;;75,27;3864;6735;5306;35,13;37,78;19,29;20,52;30,4;30,44;14;11,1
São Joaquim da Barra (SP);6,93;0,1;75,8;834;45678;23146;21,58;19,74;4,35;3,8;32,38;31,73;9,44;10,66
São Joaquim de Bicas (MG);10,69;0,77;75,62;6938;18599;10894;14,64;12,87;8,33;8,87;32,17;29,53;18,86;7,92
São Joaquim do Monte (PE);62,34;0,24;69,47;6366;14122;6587;4,92;4,88;11,27;14,24;3,48;3,27;4,71;7,85
São Joaquim (SC);50,8;;74,01;7239;17573;12272;20,33;18,42;38,29;31,39;6,78;6,3;89,36;8,74
São Jorge D'Oeste (PR);42,49;1,23;73,75;3871;5214;4921;17,21;17,63;41,34;39,37;8,44;8,23;19,26;10,18
São Jorge do Ivaí (PR);25,19;;73,59;736;4781;2848;30,35;32,38;45,63;44,52;3,73;4;4,77;11,6
